"","summary"
"1010","08/16/2012: An explosives-laden vehicle detonated outside a restaurant in Sadr city area, Baghdad city, Baghdad governorate, Iraq. Sixteen people were killed and 49 wounded in the blast. No group claimed responsibility for the incident; however, authorities attributed it to Al-Qaida in Iraq."
"1011","08/16/2012: Fifteen gunmen attacked a military post in Mushahidah, Saladin, Iraq. Ten Iraqi Army soldiers were killed and 10 wounded in the attack. No group claimed responsibility for the incident; however, authorities attributed it to Al-Qaida in Iraq."
"1012","08/16/2012: An explosives-laden vehicle detonated near a market and several restaurants in Kut city, Wasit governorate, Iraq. Seven people were killed and at least 25 injured in the blast. No group claimed responsibility for the incident; however, authorities attributed it to Al-Qaida in Iraq."
"1013","08/16/2012: Assailants detonated four explosive devices targeting the home of a military officer in Kirkuk city, Kirkuk, Iraq. One member of the military officer's family was killed and six injured. No group claimed responsibility for the incident; however, authorities attributed it to Al-Qaida in Iraq."
"1014","08/16/2012: An explosives-laden vehicle detonated near restaurants in Kirkuk city, Kirkuk, Iraq. One person was killed and another 15 wounded in the blast. No group claimed responsibility for the incident; however, authorities attributed it to Al-Qaida in Iraq."
"1015","08/16/2012: An explosives-laden vehicle detonated near a police patrol in Kirkuk city, Kirkuk, Iraq. Two police officers and two civilians were injured in the blast. No group claimed responsibility for the incident; however, authorities attributed it to Al-Qaida in Iraq."
"1016","08/16/2012: Assailants attacked a police checkpoint in Garma town, Al Anbar governorate, Iraq. Four police officers were killed and three wounded in the violence. This was one of two coordinated attacks; this first event was intended to draw a crowd. No group claimed responsibility for the incident; however, authorities attributed it to Al-Qaida in Iraq."
"1017","08/16/2012: An explosive device detonated at a police checkpoint in Garma town, Al Anbar province, Iraq. Three people were wounded in the explosion. This was one of two coordinated attacks; the previous event was intended to draw a crowd, while this second attack targeted first responders. No group claimed responsibility for the incident; however, authorities attributed it to Al-Qaida in Iraq."
"1018","08/16/2012: An explosive device detonated near Baqubah city, Diyala governorate, Iraq. The blast targeted an Iraqi Army patrol, killing four soldiers and injuring three others. No group claimed responsibility for the incident; however, sources suspected Al-Qaida in Iraq."
"1019","08/17/2012: Assailants attacked a military patrol vehicle in Ad Dali city, Ad Dali governorate, Yemen. Two military officers were injured in the attack. No group claimed responsibility for the incident; however, sources attributed it to Al-Qaida in the Arabian Peninsula (AQAP)."
"1020","08/18/2012: Assailants detonated an explosives-laden vehicle outside of the intelligence service headquarters in the At Tawahi district, Aden city, Adan governorate, Yemen. At least 14 Yemeni soldiers were killed and seven people injured in the attack. Al-Qaida in the Arabian Peninsula (AQAP) claimed responsibility for the incident, stating that the intelligence headquarters was attacked because it had been receiving support from the United States and had targeted AQAP fighters."
"1021","08/19/2012: A suicide bomber detonated explosives in Mudiyah town, Abyan governorate, Yemen. The blast targeted the commander of the Popular Resistance Committee, a local pro-government militia; the militia commander and the bomber were killed and six additional people injured. No group claimed responsibility for the incident; however, sources attributed it to Al-Qaida in the Arabian Peninsula (AQAP)."
"1022","08/21/2012: Assailants launched grenades at a Liquefied Natural Gas (LNG) pipeline in Zahira village, Shabwah governorate, Yemen. There were no reported casualties in the blast, although the pipeline was damaged, suspending service. No group claimed responsibility for the incident; however, sources attributed it to Al-Qaida in the Arabian Peninsula (AQAP)."
"1023","08/21/2012: Assailants opened fire and threw grenades at a military checkpoint in Lahij city, Lahij governorate, Yemen. There were no reported injuries or damage in the ensuing firefight. This was one of two coordinated attacks on military checkpoints in the city on the same day. No group claimed responsibility; however, sources suspected Al-Qaida in the Arabian Peninsula (AQAP)."
"1024","08/21/2012: Assailants opened fire and threw grenades at a military checkpoint in Lahij city, Lahij governorate, Yemen. There were no reported injuries or damage in the ensuing firefight. This was one of two coordinated attacks on military checkpoints in the city on the same day. No group claimed responsibility; however, sources suspected Al-Qaida in the Arabian Peninsula (AQAP)."
"1025","08/22/2012: Assailants in a vehicle threw hand grenades at a government compound in the Al-Mualla neighborhood of Aden city, Adan governorate, Yemen. There were no reported casualties, although the building was damaged in the blast. No group claimed responsibility for the incident; however, sources suspected Al-Qaida in the Arabian Peninsula (AQAP)."
"1026","08/30/2012: An assailant on a motorcycle opened fire on Yahya Badi in Habra district, Sanaa city, Amanat Al Asimah governorate, Yemen. Badi, a senior intelligence official for the Yemeni Political Security Agency, was killed in the attack. No group claimed responsibility for the incident; however, security officials attributed it to Al-Qaida in the Arabian Peninsula (AQAP)."
"1027","09/05/2012: Two gunmen opened fire on a female judicial investigator, Amal Ahmad, and a police officer as they left a court in Tuz Khormato district, Saladin governorate, Iraq. Both victims died in the gunfire. No group claimed responsibility for the incident; however, police suspected Al-Qaida in Iraq."
"1028","09/08/2012: Gunmen attacked an army security checkpoint in Dujail town, Saladin governorate, Iraq. Between this attack and a subsequent explosion meant to target first responders, 11 people died and eight were injured. This was one of seven related attacks carried out in Iraq on September 8, 2012. Al Qa'ida in Iraq (AQI) claimed responsibility for the incidents, stating that they were in revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1029","09/08/2012: An explosive device detonated, targeting first responders to a previous gun attack on a security checkpoint in Dujail town, Saladin governorate, Iraq. Across the two attacks, 11 people were killed and eight injured. This was one of seven related attacks carried out in Iraq on September 8, 2012. Al Qa'ida in Iraq (AQI) claimed responsibility for the incidents, stating that they were in revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1030","09/08/2012: Gunmen using silencers shot and killed a police captain in Garma city, Al Anbar governorate, Iraq. This was one of seven related attacks carried out in Iraq on September 8, 2012. Al Qa'ida in Iraq (AQI) claimed responsibility for the incidents, stating that they were in revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1031","09/08/2012: Two roadside bombs went off simultaneously in the Al-Tahrir area of Baqubah city, Diyala governorate, Iraq. Thirty people were wounded across these two blasts and another that occurred later in the same area. This was one of seven related attacks carried out in Iraq on September 8, 2012. Al Qa'ida in Iraq (AQI) claimed responsibility for the incidents, stating that they were in revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1032","09/08/2012: An explosive device placed in a civilian car detonated in the Al-Tahrir area of Baqubah city, Diyala governorate, Iraq. Thirty people were wounded across this blast and two others that occurred earlier in the same area. This was one of seven related attacks carried out in Iraq on September 8, 2012. Al Qa'ida in Iraq (AQI) claimed responsibility for the incidents, stating that they were in revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1033","09/08/2012: An explosive device was found and defused in Al-Tahrir area, Baqubah city, Diyala governorate, Iraq. This was one of seven related attacks carried out in Iraq on September 8, 2012. Al Qa'ida in Iraq (AQI) claimed responsibility for the incidents, stating that they were in revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1034","09/08/2012: An explosives-laden vehicle detonated in a marketplace in Baiji city, Saladin governorate, Iraq. Five people were injured in the blast. This was one of seven related attacks carried out in Iraq on September 8, 2012. Al Qa'ida in Iraq (AQI) claimed responsibility for the incidents, stating that they were in revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1035","09/09/2012: Two explosives-laden vehicles detonated close to a Shia landmark, the Imam Ali al-Sharqi shrine, near Amarah city, Maysan governorate, Iraq. Fourteen people died and 60 were injured in the blast. This was one of 36 attacks around Iraq on September 9, 2012. Al-Qa'ida in Iraq claimed responsibility for the incidents, claiming that they were revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1036","09/09/2012: An explosives-laden vehicle detonated near a cafe in the Shia neighborhood of Sadr city, Baghdad city, Baghdad governorate, Iraq. Thirteen people died and 32 were injured in the blast. This was one of 36 attacks around Iraq on September 9, 2012. Al-Qa'ida in Iraq claimed responsibility for the incidents, claiming that they were revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1037","09/09/2012: An explosives-laden vehicle detoanted near a restaurant in the Shula area of Kadhimiyah district, Baghdad city, Baghdad governorate, Iraq. Five people were killed and 38 injured in the blast. This was one of 36 attacks around Iraq on September 9, 2012. Al-Qa'ida in Iraq claimed responsibility for the incidents, claiming that they were revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1038","09/09/2012: An explosives-laden vehicle detonated in the Ur area of Sadr City district, Baghdad city, Baghdad governorate, Iraq. Four people died and 13 were injured in the blast. This was one of 36 attacks around Iraq on September 9, 2012. Al-Qa'ida in Iraq claimed responsibility for the incidents, claiming that they were revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1039","09/09/2012: An explosives-laden vehicle detonated near a pet market in the Hurriya neighborhood of Kadhimiyah district, Baghdad city, Baghdad governorate, Iraq. Three people died and 14 were injured in the blast. This was one of 36 attacks around Iraq on September 9, 2012. Al-Qa'ida in Iraq claimed responsibility for the incidents, claiming that they were revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1040","09/09/2012: An explosives-laden vehicle detonated near a marketplace in Washash area, Mansour district, Baghdad city, Baghdad governorate, Iraq. Seven people were killed and 21 injured in the attack. This was one of 36 attacks around Iraq on September 9, 2012. Al-Qa'ida in Iraq claimed responsibility for the incidents, claiming that they were revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1041","09/09/2012: An explosives-laden vehicle in the parking lot of North Oil Company in Kiwan area, Kirkuk city, Kirkuk, Iraq. The explosion targeted people lined up to apply for jobs as police guards. Nine people were killed and 30 injured in the attack. This was one of 36 attacks around Iraq on September 9, 2012. Al-Qa'ida in Iraq claimed responsibility for the incidents, claiming that they were revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1042","09/09/2012: An explosives-laden vehicle in Doz area near Kirkuk city, Kirkuk, Iraq. Three people were killed and 43 injured in the blast. This was one of 36 attacks around Iraq on September 9, 2012. Al-Qa'ida in Iraq claimed responsibility for the incidents, claiming that they were revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1043","09/09/2012: An explosives-laden vehicle detonated near an intelligence building in Kirkuk, Iraq. Seven people were killed and 40 injured in the blast. This was one of 36 attacks around Iraq on September 9, 2012. Al-Qa'ida in Iraq claimed responsibility for the incidents, claiming that they were revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1044","09/09/2012: An explosives-laden vehicle detonated in Al Riyadh area, Kirkuk, Iraq. Six civilians were injured in the blast. This was one of 36 attacks around Iraq on September 9, 2012. Al-Qa'ida in Iraq claimed responsibility for the incidents, claiming that they were revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1045","09/09/2012: An explosives-laden vehicle detonated in Hawijah area, Kirkuk, Iraq. Two civilians were injured in the blast. This was one of 36 attacks around Iraq on September 9, 2012. Al-Qa'ida in Iraq claimed responsibility for the incidents, claiming that they were revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1046","09/09/2012: An explosives-laden vehicle detonated in Taji town, Saladin governorate, Iraq. This was one of 36 related attacks in Iraq and one of three attacks in Taji on this day. One person was killed and seven others were injured across the three blasts in Taji. Al-Qa'ida in Iraq claimed responsibility for the incidents, claiming that they were revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1047","09/09/2012: An explosives-laden vehicle detonated in Taji town, Saladin governorate, Iraq. This was one of 36 related attacks in Iraq and one of three attacks in Taji on this day. One person was killed and seven others were injured across the three blasts in Taji. Al-Qa'ida in Iraq claimed responsibility for the incidents, claiming that they were revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1048","09/09/2012: An explosives-laden vehicle detonated in Taji town, Saladin governorate, Iraq. This was one of 36 related attacks in Iraq and one of three attacks in Taji on this day. One person was killed and seven others were injured across the three blasts in Taji. Al-Qa'ida in Iraq claimed responsibility for the incidents, claiming that they were revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1049","09/09/2012: An explosives-laden vehicle detonated near the vehicle of Judge Hatem al-Masoudi in Baqubah city, Diyala governorate, Iraq. Three of Al-Masoudi's bodyguards were injured in the blast. This was one of 36 attacks around Iraq on September 9, 2012. Al-Qa'ida in Iraq claimed responsibility for the incidents, claiming that they were revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1050","09/09/2012: An explosives-laden vehicle detonated in Baqubah city, Diyala governorate, Iraq. This was one of 36 attacks around Iraq and one of four roadside bomb attacks in Baqubah on this day. One person was killed and 14 others were injured across the four attacks. Al-Qa'ida in Iraq claimed responsibility for the incidents, claiming that they were revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1051","09/09/2012: An explosives-laden vehicle detonated in Baqubah city, Diyala governorate, Iraq. This was one of 36 attacks around Iraq and one of four roadside bomb attacks in Baqubah on this day. One person was killed and 14 others were injured across the four attacks. Al-Qa'ida in Iraq claimed responsibility for the incidents, claiming that they were revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1052","09/09/2012: An explosives-laden vehicle detonated in Baqubah city, Diyala governorate, Iraq. This was one of 36 attacks around Iraq and one of four roadside bomb attacks in Baqubah on this day. One person was killed and 14 others were injured across the four attacks. Al-Qa'ida in Iraq claimed responsibility for the incidents, claiming that they were revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1053","09/09/2012: An explosives-laden vehicle detonated in Baqubah city, Diyala governorate, Iraq. This was one of 36 attacks around Iraq and one of four roadside bomb attacks in Baqubah on this day. One person was killed and 14 others were injured across the four attacks. Al-Qa'ida in Iraq claimed responsibility for the incidents, claiming that they were revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1054","09/09/2012: A sniper shot and killed a soldier in Fallujah city, Al Anbar governorate, Iraq. This was one of 36 attacks around Iraq on September 9, 2012. Al-Qa'ida in Iraq claimed responsibility for the incidents, claiming that they were revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1055","09/09/2012: An explosives-laden vehicle near the French consulate in Nasiriyah city, Dhi Qar governorate, Iraq. One person was killed and one injured in the blast. This was one of 36 attacks around Iraq on September 9, 2012. Al-Qa'ida in Iraq claimed responsibility for the incidents, claiming that they were revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1056","09/09/2012: An explosives-laden vehicle detonated near the Al Janoob hotel in Nasiriyah city, Dhi Qar governorate, Iraq. Two people, including a newspaper editor, were killed and three injured in the blast. This was one of 36 attacks around Iraq on September 9, 2012. Al-Qa'ida in Iraq claimed responsibility for the incidents, claiming that they were revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1057","09/09/2012: Assailants opened fire on Police Captain Jassem al-Bayati and Second Lieutenant Ghalib al-Bayati in Tuz Khormato district, Saladin governorate, Iraq. Captain al-Bayati died and Second Lieutenant al-Bayati was injured in the attack. This was one of 36 attacks around Iraq on September 9, 2012. Al-Qa'ida in Iraq claimed responsibility for the incidents, claiming that they were revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1058","09/09/2012: An explosives-laden vehicle detonated in a marketplace in Basrah city, Al Basrah governorate, Iraq. Three people were killed and 21 injured in the blast. This was one of 36 attacks around Iraq on September 9, 2012. Al-Qa'ida in Iraq claimed responsibility for the incidents, claiming that they were revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1059","09/09/2012: An explosives-laden vehicle detonated near an Iraqi Turkman Front office in Kaylow area, Tal Afar, Nineveh governorate, Iraq. Two people died and seven were injured in the blast. This was one of 36 attacks around Iraq on September 9, 2012. Al-Qa'ida in Iraq claimed responsibility for the incidents, claiming that they were revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1060","09/09/2012: An explosives-laden vehicle detonated near a police convoy in Ishaqi area, Samarra city, Saladin governorate, Iraq. The police were inspecting the site where an earlier explosives-laden vehicle had been defused. Two people died and two were injured in the blast. This was one of 36 attacks around Iraq on September 9, 2012. Al-Qa'ida in Iraq claimed responsibility for the incidents, claiming that they were revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1061","09/09/2012: An explosives-laden vehicle detonated in the Bab-Sinjar area of Mosul city, Nineveh governorate, Iraq. Two people were killed and seven injured in the blast. This was one of 36 attacks around Iraq on September 9, 2012. Al-Qa'ida in Iraq claimed responsibility for the incidents, claiming that they were revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1062","09/09/2012: An explosives-laden vehicle detonated west of Mosul city, Nineveh governorate, Iraq. Three police officers were wounded in the blast. This was one of 36 attacks around Iraq on September 9, 2012. Al-Qa'ida in Iraq claimed responsibility for the incidents, claiming that they were revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1063","09/09/2012: An explosives-laden vehicle targeting the convoy of a senior army officer detonated in Bartella city, Nineveh governorate, Iraq. The army officer was unharmed; however, four people were injured in the attack. This was one of 36 attacks around Iraq on September 9, 2012. Al-Qa'ida in Iraq claimed responsibility for the incidents, claiming that they were revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1064","09/09/2012: Gunmen attacked a security checkpoint in Abu Ghraib town, Al Anbar governorate, Iraq. In the ensuing gunfire, three soldiers and two attackers were killed. One attacker was also arrested in the incident. This was one of 36 attacks around Iraq on September 9, 2012. Al-Qa'ida in Iraq claimed responsibility for the incidents, claiming that they were revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1065","09/09/2012: An explosives-laden vehicle was found and defused by police forces in Ishaqi town, Saladin governorate, Iraq. This was one of 36 attacks around Iraq on September 9, 2012. Al-Qa'ida in Iraq claimed responsibility for the incidents, claiming that they were revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1066","09/09/2012: An explosives-laden vehicle detonated near a convoy carrying Tuz Khurmato's mayor's bodyguards in Tuz Khurmato district, Saladin governorate, Iraq. Ten people were injured in the blast. This was one of 36 attacks around Iraq on September 9, 2012. Al-Qa'ida in Iraq claimed responsibility for the incidents, claiming that they were revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1067","09/09/2012: A roadside bomb detonated close to a police station in Tuz Khormato district, Saladin governorate, Iraq. Two people died and 20 were injured in the blast. This was one of 36 attacks around Iraq on September 9, 2012. Al-Qa'ida in Iraq claimed responsibility for the incidents, claiming that they were revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1068","09/09/2012: An explosives-laden vehicle detonated near a marketplace in Nahrawan town, Diyala governorate, Iraq. One person died and four were injured in the blast. This was one of 36 attacks around Iraq on September 9, 2012. Al-Qa'ida in Iraq claimed responsibility for the incidents, claiming that they were revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1069","09/09/2012: Several explosive devices detonated near a Shia mosque in Mahmudiya district, Babil governorate, Iraq. Four people were injured in the blast. This was one of 36 attacks around Iraq on September 9, 2012. Al-Qa'ida in Iraq claimed responsibility for the incidents, claiming that they were revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1070","09/09/2012: At least two roadside bombs exploded in Husainiya town, Diyala governorate, Iraq. Two people were killed and eight injured in the blast. This was one of 36 attacks around Iraq on September 9, 2012. Al-Qa'ida in Iraq claimed responsibility for the incidents, claiming that they were revenge for the ""campaign of extermination and torture of Sunni Muslim detainees in Safavid prisons."""
"1071","09/11/2012: An explosives-laden vehicle detonatd near the convoy of the Yemeni defense minister near the prime minister's office in Sanaa city, Amanat Al Asimah governorate, Yemen. The defense minister was not injured in the attack; however, 12 people died and 12 were injured in the blast. Ansar Al-Sharia, a sub-group of Al-Qaida in the Arabian Peninsula (AQAP), claimed responsibility for the blast."
"1072","09/11/2012: Gunmen attacked a Yemeni army checkpoint near Zinjibar, Abyan, Yemen. Two soldiers were killed in the attack. This was one of two attacks on the checkpoint on this day. No group claimed responsibility for the incident; however, sources suspected Al-Qaida in the Arabian Peninsula (AQAP)."
"1073","09/12/2012: Assailants stopped a tour bus and kidnapped the Turkish driver near Shaqra town, Abyan governorate, Yemen. The abductors purportedly demanded the release of a fellow member who had been in jail for the last two years. The hostage was released unharmed on October 7, 2012. No group claimed responsibility; however, sources suspected that the attack was carried out by Al-Qaida in the Arabian Peninsula (AQAP)."
"1074","09/14/2012: Gunmen attacked a military intelligence agency headquarters in the Tawahi area of Aden city, Adan governorate, Yemen. No one was injured in the ensuing firefight, but one vehicle was destroyed. No group claimed responsibility for the attack; however, security sources suspected Al-Qaida in the Arabian Peninsula (AQAP)."
"1075","09/16/2012: A roadside bomb detonated targeting the military convoy of Colonel Abdulwahab al-Waeli, the head of security for Al Mukalla city, in the Tawahi area of Al Mukalla city, Hadramawt governorate, Yemen. Al-Waeli survived the attack; however, three security guards were killed. This was one of two attacks; a second device detonated later to target first responders. No group claimed responsibility for the incident, but sources suspected Al-Qaida in the Arabian Peninsula (AQAP)."
"1076","09/16/2012: A roadside bomb detonated, targeting first responders to an earlier attack near the military convoy of Colonel Abdulwahab al-Waeli, the head of security for Al Mukalla city, in the Tawahi area of Al Mukalla city, Hadramawt governorate, Yemen. Al-Waeli survived the second attack; however, one person died and six were injured in the blast. This was one of two attacks; a device had detonated earlier targeting al-Waeli. No group claimed responsibility for the incident, but sources suspected Al-Qaida in the Arabian Peninsula (AQAP)."
"1077","09/18/2012: Gunmen on motorcycles attacked a security checkpoint near Zinjibar town, Abyan governorate, Yemen. Two soldiers died in the attack, and three were injured. No group claimed responsibility; however, authorities suspected Al-Qaida in the Arabian Peninsula (AQAP)."
"1078","09/22/2012: A suicide bomber detonated an explosive belt near the car of People's Committee chief Adbul Latif al-Saeed in the Khor Maksar area of Aden city, Adan governorate, Yemen. No one other than the bomber died in the blast, but four people were injured, including al-Saeed. No group claimed responsibility; however, police arrested three Al-Qa'ida in the Arabian Peninsula (AQAP) members whom they suspected to be involved."
"1079","09/24/2012: Two gunmen shot and killed Colonel Abdullah al-Ashwal, a senior intelligence officer, in Al Sabeen district of Sanaa city, Amanat Al Asimah governorate, Yemen. No group claimed responsibility for the incident; however, security officials suspected Al-Qaida in the Arabian Peninsula (AQAP)."
"1080","09/25/2012: An explosive device detonated at an oil pipeline owned by Korea National Oil Corporation in Shabwah governorate, Yemen. No one was injured in the attack; however, the pipeline was damaged. No group claimed responsibility for the incident, but authorities suspected Al-Qaida in the Arabian Peninsula (AQAP)."
"1081","09/26/2012: Two hand grenades exploded prematurely in Rabat market, Rasad district, Lahij governorate, Yemen. At least seven people were killed and 15 others were injured in the blast. No group claimed responsibility; however, sources suspect that Al-Qaida in the Arabian Peninsula (AQAP) was behind the attack."
"1082","09/27/2012: An explosive device planted near a courthouse exploded in Al Qatn village, Hadramawt governorate, Yemen. At least three people were killed in the blast. No group claimed responsibility; however, authorities suspect that Al-Qaida in the Arabian Peninsula (AQAP) was behind the attack."
"1083","09/27/2012: A suicide bomber detonated an explosives-laden vehicle at the gate of Tasfirat prison in Tikrit, Saladin Iraq. Assailants dressed in police uniforms then stormed the prison, attacked prison guards, and stole weapons. In addition to the bomber, at least 13 people were killed and 34 other people were injured in the attack. Al-Qaida in Iraq claimed responsibility for the incident."
"1084","09/29/2012: A suicide bomber prematurely detonated himself at the entrance to a hospital in Lawdar district, Abyan governorate, Yemen. The bomber's target, a pro-government former militia leader named Mohammed Aidarous, was in a waiting room of the hospital at the time. In addition to the bomber, two people were killed and seven injured in the attack. No group claimed responsibility; however, police officials attributed the incident to Al-Qaida in the Arabian Peninsula (AQAP)."
"1085","09/30/2012: An explosives-laden vehicle detonated near a bus carrying Shia pilgrims coming from Iran in Madain district, Diyala governorate, Iraq. Three people were killed and 11 others were injured in the blast. This was one of 14 related attacks across Iraq on this day. Al-Qaida in Iraq claimed responsibility for the incidents stating that they were a result of the mistreatment of Sunni prisoners by the Shia government."
"1086","09/30/2012: An explosives-laden vehicle detonated in Taji town, Saladin governorate, Iraq. This was one of 14 related attacks across Iraq and one of four attacks in Taji on this day. Eight people were killed and 28 others were injured across the four explosions. Al-Qaida in Iraq claimed responsibility for the incidents, stating that they were a result of the mistreatment of Sunni prisoners by the Shia government."
"1087","09/30/2012: An explosives-laden vehicle detonated in Taji town, Saladin governorate, Iraq. This was one of 14 related attacks across Iraq and one of four attacks in Taji on this day. Eight people were killed and 28 others were injured across the four explosions. Al-Qaida in Iraq claimed responsibility for the incidents, stating that they were a result of the mistreatment of Sunni prisoners by the Shia government."
"1088","09/30/2012: An explosives-laden vehicle detonated in Taji town, Saladin governorate, Iraq. This was one of 14 related attacks across Iraq and one of four attacks in Taji on this day. Eight people were killed and 28 others were injured across the four explosions. Al-Qaida in Iraq claimed responsibility for the incidents, stating that they were a result of the mistreatment of Sunni prisoners by the Shia government."
"1089","09/30/2012: An explosives-laden vehicle detonated in Taji town, Saladin governorate, Iraq. This was one of 14 related attacks across Iraq and one of four attacks in Taji on this day. Eight people were killed and 28 others were injured across the four explosions. Al-Qaida in Iraq claimed responsibility for the incidents, stating that they were a result of the mistreatment of Sunni prisoners by the Shia government."
"1090","09/30/2012: A suicide bomber detonated an explosives-laden vehicle near a local head of police in Karadah district, Baghdad governorate, Iraq. In addition to the bomber, one person was killed and six others were injured in the blast. This was one of 14 related attacks across Iraq on this day. Al-Qaida in Iraq claimed responsibility for the incidents, stating that they were a result of the mistreatment of Sunni prisoners by the Shia government."
"1091","09/30/2012: A suicide bomber detonated an explosives-laden vehicle near a police checkpoint in Kut city, Wasit governorate, Iraq. In addition to the bomber, five people were killed and six others were injured in the blast. This was one of 14 related attacks across Iraq on this day. Al-Qaida in Iraq claimed responsibility for the incidents, stating that they were a result of the mistreatment of Sunni prisoners by the Shia government."
"1092","09/30/2012: An explosives-laden vehicle detonated near a crowded market in Khan Bani Saad city, Diyala governorate, Iraq. One person was killed and five others were injured in the blast. This was one of 14 related attacks across Iraq on this day. Al-Qaida in Iraq claimed responsibility for the incidents, stating that they were a result of the mistreatment of Sunni prisoners by the Shia government."
"1093","09/30/2012: A roadside bomb detonated near an army patrol in Adhaim area, Diyala governorate, Iraq. One soldier was killed and four others were injured in the attack. This was one of 14 related attacks across Iraq on this day. Al-Qaida in Iraq claimed responsibility for the incidents, stating that they were a result of the mistreatment of Sunni prisoners by the Shia government."
"1094","09/30/2012: An explosives-laden vehicle targeting the director of traffic police detonated in Diyala governorate, Iraq. Four civilians were injured in the attack. This was one of 14 related attacks across Iraq on this day. Al-Qaida in Iraq claimed responsibility for the incidents, stating that they were a result of the mistreatment of Sunni prisoners by the Shia government."
"1095","09/30/2012: A suicide bomber detonated an explosives-laden vehicle in Shula neighborhood of Kadhimiyah district, Baghdad city, Baghdad governorate, Iraq. In addition to the assailant, one person was killed and four others were injured in the attack. This was one of 14 related attacks across Iraq on this day. Al-Qaida in Iraq claimed responsibility for the incidents, stating that they were a result of the mistreatment of Sunni prisoners by the Shia government."
"1096","09/30/2012: An explosives-laden vehicle detonated near an army checkpoint in Mosul city, Nineveh governorate, Iraq. One person was killed and six others were injured in the blast. This was one of 14 related attacks across Iraq on this day. Al-Qaida in Iraq claimed responsibility for the incidents, stating that they were a result of the mistreatment of Sunni prisoners by the Shia government."
"1097","09/30/2012: Assailants opened fire on Hamid Khala, a municipality council member, in Shura area, Nineveh governorate, Iraq. Khala was injured in the attack. This was one of 14 related attacks across Iraq on this day. Al-Qaida in Iraq claimed responsibility for the incidents, stating that they were a result of the mistreatment of Sunni prisoners by the Shia government."
